Epoch	Time(sec)	Loss_train	MAE_train	MAE_tf_val
1	0.5637112999975216	962.6206359863281	139.0913249898401	129.31409369574652
2	0.6586371739977039	895.9308090209961	97.52048260232677	75.33012051052518
3	0.7534278079983778	495.0449447631836	67.27426659246409	36.329915364583336
4	0.8480665930110263	347.56122970581055	54.19443981099573	32.900306701660156
5	0.9427651950099971	269.7917022705078	42.667911126746894	32.55481974283854
6	1.0372827120008878	239.5315055847168	35.3737748424459	29.586453755696613
7	1.13138612700277	314.18155670166016	33.5665058586168	27.925765991210938
8	1.2257233490090584	170.02682495117188	27.475404443207736	20.57091606987847
9	1.320491923004738	150.7778835296631	27.068008233301388	22.007403055826824
10	1.414113892999012	147.12015533447266	26.583882112680755	20.82603030734592
11	1.5077395730040735	195.69719123840332	25.005830089498012	23.06623077392578
12	1.6021367320063291	152.88382720947266	24.127018851523072	24.600252787272137
13	1.6947625059983693	126.99414825439453	23.248071090034816	18.67266337076823
14	1.7883820440038107	148.94102668762207	24.098834162173063	22.231340196397568
15	1.8805296909995377	137.0268211364746	21.011828452163602	17.530882093641495
16	1.9732735170109663	160.1523609161377	23.698940632506186	22.703770107693142
17	2.0660810109984595	150.59798049926758	21.76907959932126	19.959839714898003
18	2.159569053008454	120.67459106445312	20.156173279566794	19.142811245388454
19	2.2524500870058546	118.01651954650879	21.06265898520902	17.653305053710938
20	2.345341153006302	103.5115795135498	18.508115827667048	18.623764038085938
21	2.43777084100293	97.19608688354492	17.592143420106876	20.183760748969185
22	2.5303972480032826	101.29373931884766	17.7606833795583	19.102346632215713
23	2.623153975000605	117.51375579833984	17.544108088712516	21.986133151584202
24	2.71579154599749	141.86312580108643	19.992965176979208	24.85308329264323
25	2.8084396839985857	137.756254196167	16.407716407538942	24.420843336317276
26	2.9024868910055375	111.28772735595703	21.789563907599597	25.561148749457466
27	2.9954525510111125	130.40712928771973	24.240038806607263	21.69734785291884
28	3.0883021710033063	153.88833045959473	21.77118242157172	20.18187967936198
29	3.1812167980097	218.9469699859619	23.430587199904163	22.806963602701824
30	3.2742694320040755	131.77692222595215	21.08661665827591	21.189138624403213
31	3.366739111006609	130.79089164733887	25.618114969004754	24.0147221883138
32	3.459514087997377	165.30427360534668	23.508629603415542	27.754400465223526
33	3.5519787030061707	129.21846961975098	19.091426825671462	27.23226589626736
34	3.6447960570076248	145.75508499145508	18.265272010187186	21.846636454264324
35	3.7382572130009066	95.7000503540039	16.956855205275257	24.136361863878037
36	3.831578643003013	156.18516159057617	15.30844936015443	23.25434027777778
37	3.924669437998091	110.63348007202148	13.799429425541659	22.379930284288193
